,LonDrop,LatDrop,NumOrder
0,110.327905,20.01876,36772
1,110.30977,20.01876,28002
2,110.34604,20.01876,20459
3,110.327905,19.988958999999998,19774
4,110.34604,19.988958999999998,18722
5,110.327905,19.959158,17593
6,110.30977,19.988958999999998,13893
7,110.364175,19.988958999999998,13343
8,110.291635,19.988958999999998,13190
9,110.2735,19.988958999999998,12415
10,110.327905,20.048561,10032
11,110.364175,20.01876,7917
12,110.45485000000001,19.929357,7285
13,110.30977,20.048561,4466
14,110.2735,19.959158,3069
15,110.2735,20.01876,2157
16,110.50925500000001,19.959158,1887
17,110.30977,19.959158,1609
18,110.47298500000001,19.959158,1345
19,110.41858,19.959158,1052
20,110.364175,20.048561,968
21,110.436715,19.959158,855
22,110.23723000000001,20.01876,725
23,110.400445,19.988958999999998,625
24,110.47298500000001,19.929357,555
25,110.45485000000001,19.959158,457
26,110.20096000000001,20.048561,398
27,110.49112000000001,19.929357,393
28,110.327905,19.899556,358
29,110.38231,20.01876,319
30,110.436715,19.929357,317
31,110.21909500000001,20.01876,274
32,110.38231,19.988958999999998,218
33,110.21909500000001,19.988958999999998,207
34,110.110285,19.929357,274
35,110.47298500000001,19.988958999999998,174
36,110.16469000000001,20.048561,127
37,110.45485000000001,19.988958999999998,116
38,110.16469000000001,20.01876,103
39,110.16469000000001,19.988958999999998,80
40,110.12842,19.959158,116
41,110.18282500000001,19.988958999999998,70
42,110.21909500000001,19.899556,78
43,110.545525,19.929357,178
44,110.400445,19.869754999999998,117
45,110.255365,19.899556,49
46,110.436715,19.988958999999998,41
47,110.41858,20.048561,37
48,110.327905,19.929357,74
49,110.436715,20.01876,53
